,0,1,2,3,4
1389_1,-1.8051392547435439,-1.8630799055507923,-1.8418377150144478,-1.8452812537130399,-1.8458535347784437
1167_3,-1.4837751346880663,-1.522148354080598,-1.5200249871786469,-1.5307465987526823,-1.5071276068479935
1162_1,-1.147886794733481,-1.211110557068365,-1.1704609234320988,-1.184891736658244,-1.2082709700842713
1163_1,-1.019745413518428,-1.1194836399171677,-0.9578259084444557,-0.9426430761589497,-0.9769539856599704
1151_0,-0.40632316308268074,-0.4724651535640003,-0.46503388648607374,-0.4817850780746004,-0.4683612708311313
1150_2,-0.151688373387165,-0.12217117859218651,-0.13073965965672318,-0.18294678537913023,-0.1961361665353618
558_2,1.1104498236243971,-0.4294921214725351,-0.38528089904657764,1.246874810478622,-0.378400658287905
557_1,0.6098664954510562,-0.39214307088842404,-0.3922947922418669,-0.412190914690438,1.759987845998972
127_1,-0.7957691275988775,2.2806987422391964,2.289712366358135,2.4370344581007037,2.4472032232127763
119_1,3.1641140352601997,3.008687896284328,2.8483657003710294,-0.41506933515078476,3.061053294277095
193_4,0.0,-0.47926773643136805,-0.513941274014908,-0.4297510541179408,4.949455136151102
694_1,-0.42381266073576923,6.009682559377352,0.0,0.0,-0.44629835617938685
695_0,-0.47258972024181933,0.0,7.1573454633849245,3.993883888585892,6.790707191995284
1057_2,9.9999375,9.999999992187501,9.5,9.9999375,10.0
746_1,-0.8912749576400194,-0.902895224546896,-0.9639115204464828,-0.8979088302883655,-0.9122755656171113
802_1,-1.6082780125613543,-1.6241900501034103,-1.625315424722403,-1.6309021295933055,-1.6635599868037612
944_0,-1.7570254925526843,-1.7871442012636751,-1.8064829815411563,-1.8075704966284896,-1.7961071204599452
1008_3,-1.8193392529243058,-1.8616194363446268,-1.8402823349950774,-1.8552896261842218,-1.8384975473445198
1448_0,-1.8693970675958258,-1.9107190003007748,-1.9035743003059027,-1.9028822210111072,-1.948288354939214
1421_4,-1.9636056111374152,-1.9696268782576523,-2.037119709251991,-2.0094046461369666,-1.9684782005207213
369_3,-1.999299954005915,-2.0042338319387305,-1.9868319752339956,-1.9857597763384272,-2.003215444778249
814_2,-1.9167630049781352,-1.996167286839678,-1.9352275590320756,-1.949662147403489,-95.26036702824871
1389_2,-1.805139222692004,-1.8679321879964113,-1.8325458460716706,-1.8380921157573282,-1.85445819779535
1168_1,-1.619650638783617,-1.6782607325973302,-1.6474093832107413,-1.653032669485881,-1.6475056451501
1167_0,-1.4837751346877914,-1.5008897885132857,-1.50588392809701,-1.5064498368447417,-1.5066066503629205
1162_4,-1.1478867921486917,-1.2071087157003981,-1.204174137121604,-1.2209450488856068,-1.2071559840338444
1151_1,-0.4063231632688249,-0.6626343582522958,-0.6552273884412039,-0.5026102109282328,-0.663433281096215
1150_1,-0.952538972011769,-0.12217126146894207,-0.14352905378599146,-0.2026605902016138,-0.14990759111429397
64_4,0.7497917824788993,0.49668292602120584,-0.42714906556305915,0.7034365413278416,0.6386361861874918
557_2,-0.35692529126784284,-0.41175022443284526,1.7895410141907548,-0.412190914690438,-0.42037030214790033
1560_3,4.008831940625312,3.8351618790768502,3.7949161364581396,-0.42825513027300066,3.756920991568105
696_2,7.662590331142236,8.47751560819687,8.508676369815698,8.499388689090827,8.0736196443654
746_4,-0.8912749544860065,-0.902816220415821,-0.9535552847224987,-0.9109572013467003,-0.9018360703909792
509_3,-1.0507392913129474,-1.0514191483404227,-1.0686716979531643,-1.0705505683815435,-1.0783669542746006
508_1,-1.1432238344300043,-1.1574791485063751,-1.1524684304511443,-1.2000435576892876,-1.1460224469359845
661_4,-1.3012017910714706,-1.3064993400819485,-1.3227094081015907,-1.3341966427647287,-1.3149851723159414
575_3,-1.4479704920690926,-1.4756517393997695,-1.4815272441844936,-1.4557152183011324,-1.462124027126053
944_3,-1.7570254925778295,-1.7757734996415842,-1.7815903367071448,-1.793967689256895,-1.7928330865723414
813_3,-1.9736488548399038,-2.004983552543971,-1.9916144427510358,-2.0151396611042287,-1.9919317070080378
368_1,-1.9796110247877634,-2.024688604955651,-2.0023805407105657,-2.0052338525478546,-2.017096940038396
814_1,-1.9167526215771957,-1.999153032875309,-1.9352374723234902,-1.9462357664754573,-100.48419157471324
477_1,-1.8672431447734272,-1.8906254092904335,-1.8914149411718824,-1.90445676570206,-1.8937937690242874
1389_4,-1.80513922269601,-1.86408054332099,-1.8397986968251847,-1.8438498962432863,-1.847183117893347
1390_1,-1.7348129403670383,-1.7558423853418867,-1.7531474401915543,-1.754620511468389,-1.7579377564643595
1167_4,-1.483775136886114,-1.525490925092534,-1.5058878169945038,-1.5140735242953045,-1.5151909327551025
1162_0,-1.1478867920129927,-1.1782619972425787,-1.1692674059534676,-1.175288045137312,-1.1784142697144966
1154_1,-0.677863638912219,-0.8727549823883367,-0.7764415973391059,-0.7789217730969142,-0.783551887399311
103_4,0.17844657142907405,-0.6666963666784401,0.23538504941663363,0.2765643652783879,0.19003362599719864
64_2,0.7499722698261456,0.5669424448107471,0.601373657412057,0.7034365412714091,0.7115917264312461
558_3,1.1327778057702296,1.1270080197306163,0.9946578129903629,1.2468748105472485,1.205435174896459
127_0,2.430472897735088,2.4220196664126337,2.4166212471494415,2.437976233968124,2.4472032232127763
695_1,7.152387685336614,7.189491351874473,7.1573454633856235,3.9938838885858927,7.172005105825428
747_4,-0.9669416994369937,-1.0028445751117485,-0.9739074978393437,-0.9854758354749807,-0.9884066187897572
509_0,-1.0507377604169887,-1.1171571150205621,-1.1018793971446228,-1.0853491494639624,-1.0793554245230328
507_3,-1.2180057715814379,-1.218654530537721,-1.2647849725235603,-1.2258331926112649,-1.2488993041729746
576_4,-1.524354480668467,-1.5700990930722267,-1.5464950411006588,-1.5756499811664715,-1.5650329641504555
1448_3,-1.8693970675973124,-1.9109525916229777,-1.9034605647943934,-1.9027647081515213,-1.9297952713682323
1447_0,-1.92448828735259,-1.9540794710248546,-1.9767095426081558,-1.9462142887386178,-1.9764014065601696
369_4,-1.9994177651087386,-2.013657952935989,-1.9912584172817323,-1.9857597763370567,-2.001188344030277
1584_2,-1.960813055585109,-2.075384891065794,-1.9821395690863304,-1.9977665412606849,-1.9697286843365993
1390_4,-1.7347986970186098,-1.7652747260320252,-1.7558483481450462,-1.7532638414384663,-1.7546495251245806
1166_2,-1.3253645565327445,-1.371566822965677,-1.3786212675861507,-1.3778848478823815,-1.371000350683017
1151_4,-0.6095053865071175,-0.49420514734992393,-0.46503387919092437,-0.5414988206414751,-0.9148561877341341
64_1,-0.6897691891349823,-0.4980187897847737,-0.42714906556305915,0.7034365413278416,0.5317310722143085
119_0,2.9844424870508206,-0.4270734578543975,-0.43509879845036464,3.171033656930375,-0.42934278264971787
193_0,4.682752038791463,0.0,4.822200029904644,4.929639050670348,4.949455136151125
694_0,5.995492325922129,6.009682559377352,5.959104554920431,5.978022514263299,5.985016851896162
696_1,8.51588455909709,8.499833943054506,8.508676369815698,8.49960213078383,8.499671994068843
1057_1,9.999996875,9.99875,10.0,9.975,0.0
507_1,-1.2180057718215134,-1.2545875913830464,-1.2567000694192207,-1.237438857113252,-1.2223441951710898
577_2,-1.3733165648524466,-1.4146023660506537,-1.3792169370325327,-1.4064823889431792,-1.4066185883693532
802_2,-1.6082780125613025,-1.6288831272182307,-1.6859099728688118,-1.644505218533133,-1.6507455275115563
945_1,-1.6913011481009588,-1.799612378784613,-1.7217813254991852,-1.7236475266812354,-1.6944325676589553
